Sensor,s_0
1589028629041,7.0
1589028629522,7.0
1589028630033,7.0
1589028630522,7.0
1589028631031,7.0
1589028631521,7.0
1589028658543,7.0
1589028659077,7.0
1589028659527,7.0
1589028766638,7.0
1589028767128,7.0
1589028805123,7.0
1589028805633,7.0
1589028850729,7.0
1589028851252,7.0
1589028886728,7.0
1589028888247,7.0
1589028890727,7.0
1589028891236,7.0
1589028891775,7.0
1589028954328,7.0
1589028954836,7.0
1589028955324,7.0
1589028955833,7.0
1589028956325,7.0
1589028956836,7.0
1589028957335,7.0
1589028957836,7.0
1589028958326,7.0
1589028958838,7.0
1589028959329,7.0
1589028991330,7.0
1589028991842,7.0
1589028992321,7.0
1589028992831,7.0
1589028993335,7.0
1589028993837,7.0
1589028994327,7.0
1589028994839,7.0
1589028995328,7.0
1589028995845,7.0
1589028996385,7.0
1589028996838,7.0
1589028997329,7.0
1589028997841,7.0
1589028998322,7.0
1589028998834,7.0
1589028999344,7.0
1589028999866,7.0
1589029000326,7.0
1589029000839,7.0
1589029001389,7.0
1589029001847,7.0
1589029002328,7.0
1589029002837,7.0
1589029003325,7.0
1589029003835,7.0
1589029004324,7.0
1589029004833,7.0
1589029005336,7.0
1589029005841,7.0
1589029006387,7.0
1589029006836,7.0
1589029007324,7.0
1589029007833,7.0
1589029008327,7.0
1589029008836,7.0
1589029009325,7.0
1589029009841,7.0
1589029010321,7.0
1589029010832,7.0
1589029011381,7.0
1589029011843,7.0
1589029012344,7.0
1589029012834,7.0
1589029013323,7.0
1589029013833,7.0
1589029014328,7.0
1589029014837,7.0
1589029015326,7.0
1589029015836,7.0
1589029016385,7.0
1589029016836,7.0
1589029017339,7.0
1589029017842,7.0
1589029018321,7.0
1589029018831,7.0
1589029019321,7.0
1589029019845,7.0
1589029020328,7.0
1589029020837,7.0
1589029162328,7.0
1589029162839,7.0
1589029163329,7.0
1589029163844,7.0
1589029164330,7.0
1589029164834,7.0
1589029165325,7.0
1589029165839,7.0
1589029166329,7.0
1589029166889,7.0
1589029199328,7.0
1589029200328,7.0
1589029200838,7.0
1589029201839,7.0
1589029202330,7.0
1589029202860,7.0
1589029203351,7.0
1589029355438,7.0
1589029355928,7.0
1589029356461,7.0
1589029356973,7.0
1589029357440,7.0
1589029357940,7.0
1589029358439,7.0
1589029358921,7.0
1589029359439,7.0
1589029359930,7.0
1589029362937,7.0
1589029369928,7.0
1589029375500,7.0
1589029377928,7.0
1589029378930,7.0
1589029379444,7.0
1589029380969,7.0
1589029381937,7.0
1589029383929,7.0
1589029385498,7.0
1589029385929,7.0
1589029387435,7.0
1589029387924,7.0
1589029388924,7.0
1589029390499,7.0
1589029393464,7.0
1589029393923,7.0
1589029394436,7.0
1589029394928,7.0
1589029395933,7.0
1589029396435,7.0
1589029397926,7.0
1589029398936,7.0
1589029399435,7.0
1589029400493,7.0
1589029402441,7.0
1589029402921,7.0
1589029403440,7.0
1589029403928,7.0
1589029406438,7.0
1589029406928,7.0
1589029408438,7.0
1589029410504,7.0
1589029411434,7.0
1589029412924,7.0
1589029414921,7.0
1589029566528,7.0
1589029569526,7.0
1589029570546,7.0
1589029603033,7.0
1589029604040,7.0
1589029829128,7.0
1589029829639,7.0
1589029830129,7.0
1589029830631,7.0
1589029831123,7.0
1589029831634,7.0
1589029832171,7.0
1589029832643,7.0
1589029833135,7.0
1589029833643,7.0
1589029834175,7.0
1589029860127,7.0
1589029860637,7.0
1589029861125,7.0
1589029861635,7.0
1589029862136,7.0
1589029862636,7.0
1589029863124,7.0
1589029863633,7.0
1589029864124,7.0
1589029864640,7.0
1589029865179,7.0
1589029865638,7.0
1589029866126,7.0
1589029866635,7.0
1589029867123,7.0
1589029867633,7.0
1589029868143,7.0
1589029868663,7.0
1589029869124,7.0
1589029869660,7.0
1589029958647,7.0
1589029959127,7.0
1589029959637,7.0
1589029960125,7.0
1589029960634,7.0
1589029961127,7.0
1589029961636,7.0
1589029962125,7.0
1589029962633,7.0
1589029963123,7.0
1589029963785,7.0
1589029964236,7.0
1589029989724,7.0
1589029990234,7.0
1589029990724,7.0
1589029991236,7.0
1589029991738,7.0
1589029992242,7.0
1589029992724,7.0
1589029993236,7.0
1589029993727,7.0
1589029994246,7.0
1589030020236,7.0
1589030029232,7.0
1589030030249,7.0
1589030116728,7.0
1589030117236,7.0
1589030117743,7.0
1589030219738,7.0
1589030220238,7.0
1589030220728,7.0
1589030337239,7.0
1589030337728,7.0
1589030338239,7.0
1589030338727,7.0
1589030339237,7.0
1589030339736,7.0
1589030340236,7.0
1589030340727,7.0
1589030341243,7.0
1589030341726,7.0
1589030342238,7.0
1589030342729,7.0
1589030343238,7.0
1589030343727,7.0
1589030344237,7.0
1589030344725,7.0
1589030345235,7.0
1589030345770,7.0
1589030346240,7.0
1589030346741,7.0
1589030347242,7.0
1589030347721,7.0
1589030348247,7.0
1589030348728,7.0
1589030349238,7.0
1589030349726,7.0
1589030350235,7.0
1589030350724,7.0
1589030351234,7.0
1589030351738,7.0
1589030352241,7.0
1589030352722,7.0
1589030353235,7.0
1589030353725,7.0
1589030354238,7.0
1589030354728,7.0
1589030355238,7.0
1589030355723,7.0
1589030356235,7.0
1589030356726,7.0
1589030357238,7.0
1589030357751,7.0
1589030358267,7.0
1589030358728,7.0
1589030359238,7.0
1589030359727,7.0
1589030360245,7.0
1589030360728,7.0
1589030361238,7.0
1589030361734,7.0
1589030362241,7.0
1589030362722,7.0
1589030363241,7.0
1589030363737,7.0
1589030364236,7.0
1589030364724,7.0
1589030365233,7.0
1589030365721,7.0
1589030366231,7.0
1589030366721,7.0
1589030367233,7.0
1589030367725,7.0
1589030368240,7.0
1589030368720,7.0
1589030369261,7.0
1589030369752,7.0
1589030370241,7.0
1589030370740,7.0
1589030371238,7.0
1589030371728,7.0
1589030372265,7.0
1589030372731,7.0
1589030373234,7.0
1589030373726,7.0
1589030374239,7.0
1589030374728,7.0
1589030375253,7.0
1589030375736,7.0
1589030376237,6.0
1589030376729,6.0
1589030377241,6.0
1589030377724,6.0
1589030378246,6.0
1589030378730,6.0
1589030379242,6.0
1589030379724,6.0
1589030380234,6.0
1589030380724,6.0
1589030381236,6.0
1589030381746,6.0
1589030382268,6.0
1589030382722,6.0
1589030383234,6.0
1589030383725,6.0
1589030384234,6.0
1589030384728,6.0
1589030385236,6.0
1589030385724,6.0
1589030386233,6.0
1589030386724,6.0
1589030387233,6.0
1589030387736,6.0
1589030388234,6.0
1589030388736,6.0
1589030389235,6.0
1589030389723,6.0
1589030390232,6.0
1589030390727,6.0
1589030391237,6.0
1589030391725,6.0
1589030392234,6.0
1589030392722,6.0
1589030393232,6.0
1589030393769,6.0
1589030394244,6.0
1589030394734,6.0
1589030395241,6.0
1589030395722,6.0
1589030396241,6.0
1589030396721,6.0
1589030397239,6.0
1589030397729,6.0
1589030398239,6.0
1589030398730,6.0
1589030399232,6.0
1589030399737,6.0
1589030400237,6.0
1589030400726,6.0
1589030401236,6.0
1589030401725,6.0
1589030402235,6.0
1589030402728,6.0
1589030403244,6.0
1589030403726,6.0
1589030404239,6.0
1589030404722,6.0
1589030405292,6.0
1589030405745,6.0
1589030406272,6.0
1589030406721,6.0
1589030407230,6.0
1589030407723,6.0
1589030408235,6.0
1589030408730,6.0
1589030409242,6.0
1589030409722,6.0
1589030410234,6.0
1589030410723,6.0
1589030411233,6.0
1589030411738,6.0
1589030412241,6.0
1589030412721,6.0
1589030413242,6.0
1589030413723,6.0
1589030414234,6.0
1589030414730,6.0
1589030415243,6.0
1589030415724,6.0
1589030416235,6.0
1589030416723,6.0
1589030417232,6.0
1589030417772,6.0
1589030418243,6.0
1589030418742,6.0
1589030419232,6.0
1589030419725,6.0
1589030420237,6.0
1589030420730,6.0
1589030421242,6.0
1589030421721,6.0
1589030422230,6.0
1589030422721,6.0
1589030423230,6.0
1589030423719,6.0
1589030424238,6.0
1589030424728,6.0
1589030425239,6.0
1589030425730,6.0
1589030426245,6.0
1589030426729,6.0
1589030427244,6.0
1589030427723,6.0
1589030428233,6.0
1589030428721,6.0
1589030429231,6.0
1589030429725,6.0
1589030430266,6.0
1589030430726,6.0
1589030431236,6.0
1589030431726,6.0
1589030432238,6.0
1589030432729,6.0
1589030433238,6.0
1589030433727,6.0
1589030434239,6.0
1589030434730,6.0
1589030435257,6.0
1589030435736,6.0
1589030436240,6.0
1589030436728,6.0
1589030630247,6.0
1589030630732,6.0
1589030631234,6.0
1589030631725,6.0
1589030632238,6.0
1589030632730,6.0
1589030633261,6.0
1589030633771,6.0
1589030634241,6.0
1589030634745,6.0
1589030635287,6.0
1589030635727,6.0
1589030636246,6.0
1589030636730,6.0
1589030637242,6.0
1589030637721,6.0
1589030638230,6.0
1589030638721,6.0
1589030639231,6.0
1589030639719,6.0
1589030640290,6.0
1589030640729,6.0
1589030641240,6.0
1589030641731,6.0
1589030642246,6.0
1589030716725,6.0
1589030791834,6.0
1589030792832,6.0
1589030793835,6.0
1589030794833,6.0
1589030795322,6.0
1589030795831,6.0
1589030796321,6.0
1589030797838,6.0
1589030798885,6.0
1589030799863,6.0
1589030800321,6.0
1589030801846,6.0
1589030802329,6.0
1589030802839,6.0
1589030803329,6.0
1589030803840,6.0
1589030804322,6.0
1589030804832,6.0
1589030805337,6.0
1589030805838,6.0
1589030806328,6.0
1589030806839,6.0
1589030807328,6.0
1589030807847,6.0
1589030808330,6.0
1589030808841,6.0
1589030809321,6.0
1589030809845,6.0
1589030810325,6.0
1589030810836,6.0
1589030811838,6.0
1589030812348,6.0
1589030812838,6.0
1589030813326,6.0
1589030813835,6.0
1589030815325,6.0
1589030815834,6.0
1589030816322,6.0
1589030817336,6.0
1589030817836,6.0
1589030819323,6.0
1589030820328,6.0
1589030821328,6.0
1589030821838,6.0
1589030822329,6.0
1589030822887,6.0
1589030823343,6.0
1589030823869,6.0
1589030824330,6.0
1589030824841,6.0
1589030825322,6.0
1589030825832,6.0
1589030826334,6.0
1589030826832,6.0
1589030827322,6.0
1589030827832,6.0
1589030828323,6.0
1589030828837,6.0
1589030829337,6.0
1589030829837,6.0
1589030830326,6.0
1589030831845,6.0
1589030832328,6.0
1589030833325,6.0
1589030836347,6.0
1589030836838,6.0
1589030837326,6.0
1589030837837,6.0
1589030838330,6.0
1589030838839,6.0
1589030839327,6.0
1589030839837,6.0
1589030840325,6.0
1589030840834,6.0
1589030841335,6.0
1589030841836,6.0
1589030845327,6.0
1589030845836,6.0
1589030846324,6.0
1589030846834,6.0
1589030847345,6.0
1589030847870,6.0
1589030848322,6.0
1589030848832,6.0
1589030850328,6.0
1589030851831,6.0
1589030852321,6.0
1589030852831,6.0
1589030854327,6.0
1589030854839,6.0
1589030857330,6.0
1589030858322,6.0
1589030858833,6.0
1589030859377,6.0
1589030867323,6.0
1589030867834,6.0
1589030868834,6.0
1589030869326,6.0
1589030869838,6.0
1589030870327,6.0
1589030870886,6.0
1589030871344,6.0
1589030871867,6.0
1589030872325,6.0
1589030873325,6.0
1589030873850,6.0
1589030874330,6.0
1589030875835,6.0
1589030876325,6.0
1589030877338,6.0
1589030878832,6.0
1589030879323,6.0
1589030879840,6.0
1589030881327,6.0
1589030882327,6.0
1589030883371,6.0
1589030883840,6.0
1589030884339,6.0
1589030885325,6.0
1589030885835,6.0
1589030886327,6.0
1589030886838,6.0
1589030887326,6.0
1589030887835,6.0
1589030888325,6.0
1589030888834,6.0
1589030889335,6.0
1589030889835,6.0
1589030890325,6.0
1589030890833,6.0
1589030891322,6.0
1589030891836,6.0
1589030892328,6.0
1589030892839,6.0
1589030893328,6.0
1589030893838,6.0
1589030894326,6.0
1589030894850,6.0
1589030895325,6.0
1589030895866,6.0
1589030896326,6.0
1589030897324,6.0
1589030897847,6.0
1589030898333,6.0
1589030898837,6.0
1589030899329,6.0
1589030899840,6.0
1589030900832,6.0
1589030902329,6.0
1589030905830,6.0
1589030906321,6.0
1589030906867,6.0
1589030907368,6.0
1589030907839,6.0
1589030908348,6.0
1589030908842,6.0
1589030909323,6.0
1589030909837,6.0
1589030910329,6.0
1589030910838,6.0
1589030911327,6.0
1589030912327,6.0
1589030913337,6.0
1589030913837,6.0
1589030914328,6.0
1589030914840,6.0
1589030915322,6.0
1589030916838,6.0
1589030919868,6.0
1589030920326,6.0
1589030920837,6.0
1589030921327,6.0
1589030923334,6.0
1589030924326,6.0
1589030925339,6.0
1589030926841,6.0
1589030927322,6.0
1589030927833,6.0
1589030928328,6.0
1589030929325,6.0
1589030929834,6.0
1589030930832,6.0
1589030931369,6.0
1589030931838,6.0
1589030932348,6.0
1589030932837,6.0
1589030933327,6.0
1589030933845,6.0
1589030934328,6.0
1589030934838,6.0
1589030935326,6.0
1589030935837,6.0
1589030936327,6.0
1589030937841,6.0
1589030939843,6.0
1589030940330,6.0
1589030940841,6.0
1589030941324,6.0
1589030941842,6.0
1589030942323,6.0
1589030942835,6.0
1589030943343,6.0
1589030943865,6.0
1589031192321,6.0
1589031192832,6.0
1589031193325,6.0
1589031193839,6.0
1589031194323,6.0
1589031194835,6.0
1589031229325,6.0
1589031656836,6.0
1589031657336,6.0
1589031737321,6.0
1589031737830,6.0
1589031738321,6.0
1589031738833,6.0
1589031739324,6.0
1589031739839,6.0
1589031740329,6.0
1589031794325,6.0
1589031794836,6.0
1589031823528,6.0
1589031827523,6.0
1589031831528,6.0
1589031840521,6.0
1589031846041,6.0
1589031848033,6.0
1589031850038,6.0
1589031850545,6.0
1589031851066,6.0
1589031851526,6.0
1589031852054,6.0
1589031852522,6.0
1589031853032,6.0
1589031853521,6.0
1589031854041,6.0
1589031854522,6.0
1589031855038,6.0
1589031855528,6.0
1589031856053,6.0
1589031856543,6.0
1589031857049,6.0
1589031857529,6.0
1589031858039,6.0
1589031858537,6.0
1589031859044,6.0
1589031859528,6.0
1589031860039,6.0
1589031860543,6.0
1589031861037,6.0
1589031861528,6.0
1589031862062,6.0
1589031863042,6.0
1589031863542,6.0
1589031864530,6.0
1589031865045,6.0
1589031865530,6.0
1589031866042,6.0
1589031866526,6.0
1589031867038,6.0
1589031867528,6.0
1589031868054,6.0
1589031868536,6.0
1589031869036,6.0
1589031869524,6.0
1589031870033,6.0
1589031870523,6.0
1589031871033,6.0
1589031871530,6.0
1589031872042,6.0
1589031872524,6.0
1589031873036,6.0
1589031873526,6.0
1589031874038,6.0
1589031874549,6.0
1589031875069,6.0
1589031875527,6.0
1589031876037,6.0
1589031876527,6.0
1589031877045,6.0
