Sensor,s_0
1589028629041,18.3
1589028629522,18.3
1589028630033,18.3
1589028630522,18.3
1589028631031,18.3
1589028631521,18.3
1589028658543,18.3
1589028659077,18.3
1589028659527,18.3
1589028766638,18.3
1589028767128,18.3
1589028805123,18.3
1589028805633,18.3
1589028850729,18.3
1589028851252,18.3
1589028886728,18.3
1589028888247,18.3
1589028890727,18.3
1589028891236,18.3
1589028891775,18.3
1589028954328,18.3
1589028954836,18.3
1589028955324,18.3
1589028955833,18.3
1589028956325,18.3
1589028956836,18.3
1589028957335,18.3
1589028957836,18.3
1589028958326,18.3
1589028958838,18.3
1589028959329,18.3
1589028991330,18.3
1589028991842,18.3
1589028992321,18.3
1589028992831,18.3
1589028993335,18.3
1589028993837,18.3
1589028994327,18.3
1589028994839,18.3
1589028995328,18.3
1589028995845,18.3
1589028996385,18.3
1589028996838,18.3
1589028997329,18.3
1589028997841,18.3
1589028998322,18.3
1589028998834,18.3
1589028999344,18.3
1589028999866,18.3
1589029000326,18.3
1589029000839,18.3
1589029001389,18.3
1589029001847,18.3
1589029002328,18.3
1589029002837,18.3
1589029003325,18.3
1589029003835,18.3
1589029004324,18.3
1589029004833,18.3
1589029005336,18.3
1589029005841,18.3
1589029006387,18.3
1589029006836,18.3
1589029007324,18.3
1589029007833,18.3
1589029008327,18.3
1589029008836,18.3
1589029009325,18.3
1589029009841,18.3
1589029010321,18.3
1589029010832,18.3
1589029011381,18.3
1589029011843,18.3
1589029012344,18.3
1589029012834,18.3
1589029013323,18.3
1589029013833,18.3
1589029014328,18.3
1589029014837,18.3
1589029015326,18.3
1589029015836,18.3
1589029016385,18.3
1589029016836,18.3
1589029017339,18.3
1589029017842,18.3
1589029018321,18.3
1589029018831,18.3
1589029019321,18.3
1589029019845,18.3
1589029020328,18.3
1589029020837,18.3
1589029162328,18.3
1589029162839,18.3
1589029163329,18.3
1589029163844,18.3
1589029164330,18.3
1589029164834,18.3
1589029165325,18.3
1589029165839,18.3
1589029166329,18.3
1589029166889,18.3
1589029199328,18.3
1589029200328,18.3
1589029200838,18.3
1589029201839,18.3
1589029202330,18.3
1589029202860,18.3
1589029203351,18.3
1589029355438,18.3
1589029355928,18.3
1589029356461,18.3
1589029356973,18.3
1589029357440,18.3
1589029357940,18.3
1589029358439,18.3
1589029358921,18.3
1589029359439,18.3
